ts,size,n,m,p,totaltime
1718552002660,2,100,100,100,4911
1718552013776,3,100,100,100,2611
1718552021812,4,100,100,100,1951
1718552181624,2,100,100,100,4806
1718552192013,3,100,100,100,3045
1718552200812,4,100,100,100,2108
1718552209180,5,100,100,100,2507
1718552217416,6,100,100,100,2496
1718552226204,7,100,100,100,2412
1718552234580,8,100,100,100,2279
1718552243716,9,100,100,100,3032
1718552252400,10,100,100,100,2472
1718552260340,11,100,100,100,2411
1718552268588,12,100,100,100,3300
1718552828990,2,100,100,100,4705
1718552838542,2,100,100,100,4866
1718552848375,2,100,100,100,4971
1718552858405,2,100,100,100,4970
1718552868431,2,100,100,100,5841
1718552879323,2,100,100,100,5673
1718552891342,2,100,100,100,4759
1718558951220,2,100,100,100,4592
1718558960645,2,100,100,100,4689
1718558970240,2,100,100,100,4581
1718558979629,2,100,100,100,4701
1718558988918,2,100,100,100,4677
1718558998554,2,100,100,100,4633
1718559008104,2,100,100,100,4574
1718559017602,2,100,100,100,4466
1718559027177,2,100,100,100,4646
1718559036909,2,100,100,100,5188
1718559047005,2,100,100,100,4635
1718559056515,2,100,100,100,4654
1718559066198,2,100,100,100,4656
1718559076014,2,100,100,100,4593
1718559085926,2,100,100,100,4642
1718559095506,2,100,100,100,4913
1718559105772,2,100,100,100,4687
1718559115652,2,100,100,100,4677
1718559125350,2,100,100,100,4748
1718559135378,2,100,100,100,6891
1718559148471,2,100,100,100,4598
1718559159170,2,100,100,100,5249
1718559169900,2,100,100,100,4582
1718559179930,2,100,100,100,4636
1718559189793,2,100,100,100,4717
1718559199815,2,100,100,100,4569
1718559210064,2,100,100,100,6143
1718559222463,2,100,100,100,7120
1718559237299,2,100,100,100,4989
1718559248207,2,100,100,100,4696
1718559258673,2,100,100,100,4559
1718559268914,2,100,100,100,4626
1718559279442,2,100,100,100,4715
1718559289938,2,100,100,100,4618
1718559300289,2,100,100,100,4800
1718559310971,2,100,100,100,4620
1718559321727,2,100,100,100,4649
1718559332863,2,100,100,100,4605
1718559343750,2,100,100,100,4726
1718559354455,2,100,100,100,4592
1718559364799,2,100,100,100,4650
1718559375648,2,100,100,100,4579
1718559386402,2,100,100,100,4676
1718559397091,2,100,100,100,5213
1718559408979,2,100,100,100,4580
1718559419886,2,100,100,100,4618
1718559430744,2,100,100,100,4616
1718559441703,2,100,100,100,4779
1718559452760,2,100,100,100,4624
1718559463681,2,100,100,100,4698
1718559474417,2,100,100,100,4575
1718559485531,2,100,100,100,4664
1718559496588,2,100,100,100,4682
1718559507243,2,100,100,100,4690
1718559517807,2,100,100,100,4569
1718559528805,2,100,100,100,4606
1718559539542,2,100,100,100,4582
1718559550140,2,100,100,100,4646
1718559560789,2,100,100,100,4657
1718559571923,2,100,100,100,4993
1718559583931,2,100,100,100,4550
1718559595201,2,100,100,100,4627
1718559606513,2,100,100,100,4708
1718559617419,2,100,100,100,4598
1718559628997,2,100,100,100,7104
1718559644760,2,100,100,100,4754
1718559655510,2,100,100,100,4769
1718559667234,2,100,100,100,4581
1718559678135,2,100,100,100,4652
1718559689609,2,100,100,100,4639
1718559701073,2,100,100,100,4746
1718559712171,2,100,100,100,4715
1718559723810,2,100,100,100,4582
1718559735230,2,100,100,100,4610
1718559746233,2,100,100,100,4659
1718559757811,2,100,100,100,4650
1718559770500,2,100,100,100,4666
1718559781931,2,100,100,100,4718
1718559793059,2,100,100,100,4658
1718559804232,2,100,100,100,4773
1718559815862,2,100,100,100,6985
1718559831026,2,100,100,100,6885
1718559846577,2,100,100,100,4830
1718559858390,2,100,100,100,4705
1718559870480,2,100,100,100,4776
1718559882005,2,100,100,100,10166
1718559900627,2,100,100,100,4520
1718559914361,2,100,100,100,4632
1718559926136,2,100,100,100,4569
1718559938060,2,100,100,100,4609
1718559950310,2,100,100,100,4601
1718559962280,2,100,100,100,4662
1718559973748,2,100,100,100,4625
1718559985935,2,100,100,100,4652
1718559996996,2,100,100,100,4862
1718560009132,2,100,100,100,4689
1718560020528,2,100,100,100,4603
1718560032578,2,100,100,100,4693
1718560044916,2,100,100,100,4625
1718560057279,2,100,100,100,4676
1718560069742,3,100,100,100,2648
1718560080128,3,100,100,100,2655
1718560090590,3,100,100,100,2688
1718560100350,3,100,100,100,2677
1718560110960,3,100,100,100,2704
1718560120812,3,100,100,100,2780
1718560130637,3,100,100,100,2699
1718560140549,3,100,100,100,2773
1718560150131,3,100,100,100,2604
1718560159706,3,100,100,100,2720
1718560169216,3,100,100,100,2703
1718560179829,3,100,100,100,2790
1718560190314,3,100,100,100,2712
1718560200501,3,100,100,100,2755
1718560211209,3,100,100,100,2664
1718560221173,3,100,100,100,2599
1718560230762,3,100,100,100,2676
1718560241315,3,100,100,100,2757
1718560251068,3,100,100,100,2638
1718560261121,3,100,100,100,2729
1718560270712,3,100,100,100,2702
1718560280449,3,100,100,100,2722
1718560290030,3,100,100,100,2656
1718560299616,3,100,100,100,2697
1718560311057,3,100,100,100,2675
1718560320777,3,100,100,100,2834
1718560330546,3,100,100,100,2738
1718560341268,3,100,100,100,2730
1718560352001,3,100,100,100,2687
1718560361834,3,100,100,100,2845
1718560372650,3,100,100,100,2746
1718560382620,3,100,100,100,2698
1718560392352,3,100,100,100,2572
1718560402328,3,100,100,100,2590
1718560412190,3,100,100,100,2639
1718560421753,3,100,100,100,2852
1718560431871,3,100,100,100,2723
1718560441801,3,100,100,100,3748
1718560453324,3,100,100,100,2876
1718560464324,3,100,100,100,2696
1718560474354,3,100,100,100,2585
1718560485757,3,100,100,100,2739
1718560496693,3,100,100,100,2689
1718560506733,3,100,100,100,2711
1718560516704,3,100,100,100,2910
1718560527606,3,100,100,100,2629
1718560537750,3,100,100,100,2631
1718560547891,3,100,100,100,2697
1718560557820,3,100,100,100,2672
1718560567662,3,100,100,100,2631
1718560578654,3,100,100,100,2670
1718560589350,3,100,100,100,3835
1718560600821,3,100,100,100,2701
1718560611884,3,100,100,100,2674
1718560622532,3,100,100,100,2668
1718560632777,3,100,100,100,2780
1718560642764,3,100,100,100,2628
1718560652744,3,100,100,100,2703
1718560663092,3,100,100,100,2690
1718560673228,3,100,100,100,2575
1718560683787,3,100,100,100,2615
1718560693901,3,100,100,100,2611
1718560704816,3,100,100,100,2718
1718560715009,3,100,100,100,2697
1718560725143,3,100,100,100,2733
1718560736122,3,100,100,100,2695
1718560746438,3,100,100,100,2761
1718560757602,3,100,100,100,2677
1718560767991,3,100,100,100,2751
1718560778998,3,100,100,100,2579
1718560788956,3,100,100,100,2668
1718560799164,3,100,100,100,2535
1718560809212,3,100,100,100,2662
1718560819141,3,100,100,100,2608
1718560830761,3,100,100,100,2745
1718560840980,3,100,100,100,2684
1718560851832,3,100,100,100,2813
1718560862247,3,100,100,100,2568
1718560872603,3,100,100,100,2628
1718560882924,3,100,100,100,2706
1718560894248,3,100,100,100,2648
1718560904739,3,100,100,100,2688
1718560915090,3,100,100,100,2709
1718560925844,3,100,100,100,2619
1718560937194,3,100,100,100,2676
1718560947559,3,100,100,100,2826
1718560958043,3,100,100,100,2742
1718560968442,3,100,100,100,2665
1718560978991,3,100,100,100,2631
1718560990132,3,100,100,100,2655
1718561001212,3,100,100,100,2825
1718561011876,3,100,100,100,2673
1718561022873,3,100,100,100,2608
1718561033054,3,100,100,100,2713
1718561043108,3,100,100,100,2530
1718561053233,3,100,100,100,2670
1718561063268,3,100,100,100,2720
1718561074414,3,100,100,100,2630
1718561084918,3,100,100,100,2597
1718561094909,3,100,100,100,2705
1718561105148,4,100,100,100,1975
1718561114892,4,100,100,100,1979
1718561124592,4,100,100,100,1956
1718561134060,4,100,100,100,1974
1718561143976,4,100,100,100,1972
1718561153652,4,100,100,100,1938
1718561163216,4,100,100,100,1976
1718561172832,4,100,100,100,1955
1718561182152,4,100,100,100,1941
1718561191572,4,100,100,100,1981
1718561202312,4,100,100,100,1952
1718561212568,4,100,100,100,1918
1718561222256,4,100,100,100,2029
1718561232164,4,100,100,100,2039
